	University	Pedestrian	Neighbourhood	City	County	State	Country	Country_code	Road	Postcode	Footway	Suburb	Address29	Cycleway	Clothes	House_number	Hamlet	School	Town	Locality	Parking	Hospital	Village	Museum	College	Park	Convenience	Library	Attraction	Residential	Bicycle_parking	Building	City_district	Industrial	Commercial	Station	University	Subject	Stipend	LW Ratio	Academic Year	Program Year
0	Duke University	Union Circle	Trinity Heights	Durham	Durham County	North Carolina	USA	us																													Duke University 	Bioengineering	29700	1.34	2018-2019	3rd
1	University of Colorado Denver		Auraria	Denver	Denver County	Colorado	United States of America	us	Lawrence Way	80217																											University of Colorado - Denver 	Molecular Biology PhD	31000	1.38	2019-2020	2nd
2	Michigan State University			East Lansing	Ingham County	Michigan	USA	us	Farm Lane	48824																											Michigan State University 	Physics/Nuclear	33000	1.61	2019-2020	1st
3	University of Denver			Denver	Denver County	Colorado	USA	us		80208	Driscoll Bridge																										University of Denver 	Mathematics	20700	0.92	2019-2020	1st
4	University of California - Los Angeles (Westwood)	Bruin Walk	Westwood Village	LA	Los Angeles County	California	USA	us		90095		Westwood																									University of California - Los Angeles 	biology	42000	1.62	2018-2019	1st
5			Marquam Hill	Portland	Multnomah County	Oregon	USA	us	Southwest Campus Drive	97239		Homestead	Oregon Health & Science University																								Oregon Health and Science University	Neuroscience	30000	1.28	2018-2019	1st
6	Wake Forest University			Winston-Salem	Forsyth County	North Carolina	USA	us	Wake Forest Road	27106																											Wake Forest University 	Biomedical Informatics	45000	2.06	2019-2020	1st
7	University of Arizona			Phoenix	Maricopa County	Arizona	USA	us	East Polk Street	85004		Central City																									University of Arizona 	Entomology	22022	1.06	2018-2019	1st
8	University of Wisconsin-Madison		Oakland Heights	Madison	Dane County	Wisconsin	USA	us		53726				Howard Temin Lakeshore Path																							University of Wisconsin - Madison 	Computer Sciences	20700	0.91	2019-2020	1st
9				Portland	Multnomah County	Oregon	USA	us	Southwest 6th Avenue	97204		Portland Downtown			OSU Beaver Store	538																					Oregon State University 	Microbiology	1600	0.08	2018-2019	2nd
10	University of Central Florida				Orange County	Florida	USA	us	Libra Drive	32816							University Park																				University of Central Florida 	Mechanical Engineering	24000	1.04	2019-2020	1st
11	UC			Cincinnati	Hamilton County	Ohio	USA	us	West University Avenue	45219		The Heights																									University of Cincinnati 	School Psychology	12540	0.65	2018-2019	1st
12	Clark Atlanta University		Joel Chandler Harris Homes	Atlanta	Fulton County	Georgia	USA	us	Parsons Street Southwest	30314		Rockdale																									Clark Atlanta University	Chemistry 	17100	0.73	2019-2020	1st
13			Beverlywood	LA	Los Angeles County	California	USA	us	South Crest Drive	90035		Century City						Yeshiva University																			Yeshiva University 	Biomedical Sciences	35000	1.18	2018-2019	1st
14	MU			Oxford	Butler County	Ohio	USA	us	East Vine Street	45056																											Miami University 	Mechanical Engineering	15800	0.82	2019-2020	1st
15	Northeastern University		Roxbury Crossing	Boston	Suffolk County	Massachusetts	USA	us	Tremont Street	MA 02118		Roxbury																									Northeastern University 	Electrical and Computer Engineering	33007	1.15	2018-2019	2nd
16	Stanford University				Santa Clara County	California	USA	us	Palm Drive	94305-6015							Stanford																				Stanford University 	Civil and Environmental Enineering	42000	1.46	2019-2020	1st
17	University of California - Los Angeles (Westwood)	Bruin Walk	Westwood Village	LA	Los Angeles County	California	USA	us		90095		Westwood																									University of California - Los Angeles 	Electrical Engineering	28000	1.08	2019-2020	1st
18	UC Berkeley			Oakland	Alameda County	California	USA	us	Centennial Drive	94720-1076																											University of California - Berkeley	MCB	37000	1.33	2019-2020	1st
19	UMN			St. Paul	Ramsey County	Minnesota	USA	us	North Brompton Street	55108																											University of Minnesota - Twin Cities 	German Nordic Slavic and Dutch	23500	1.03	2018-2019	1st
20	UNC-Chapel Hill				Orange County	North Carolina	USA	us	Ehringhaus Drive	275199									Chapel Hill																		University of North Carolina - Chapel Hill 	Biomedical Engineering	37500	1.69	2019-2020	1st
21	University of California - Los Angeles (Westwood)	Bruin Walk	Westwood Village	LA	Los Angeles County	California	USA	us		90095		Westwood																									University of California - Los Angeles 	Linguistics	33000	1.28	2019-2020	1st
22	Clemson University				Pickens County	South Carolina	USA	us	Old Stadium Road	29631							Clemson Heights																				Clemson University 	Automotive	20500	0.98	2018-2019	3rd
23	University of California - Los Angeles (Westwood)	Bruin Walk	Westwood Village	LA	Los Angeles County	California	USA	us		90095		Westwood																									University of California - Los Angeles 	Molecular Biology Interdepartmental Doctoral Program (MBIDP)	33500	1.29	2019-2020	1st
24	Duke University	Union Circle	Trinity Heights	Durham	Durham County	North Carolina	USA	us																													Duke University 	Public Policy	25000	1.12	2019-2020	1st
25	UCSF		Inner Sunset	SF	SF	California	USA	us	Parnassus Avenue	94117																											University of California - San Francisco 	Chemistry and Chemical biology 	40000	1.34	2019-2020	1st
26	UCSF		Inner Sunset	SF	SF	California	USA	us	Parnassus Avenue	94117																											University of California - San Francisco 	Chemistry and Chemical biology 	40000	1.34	2019-2020	1st
27	UC			Cincinnati	Hamilton County	Ohio	USA	us	West University Avenue	45219		The Heights																									University of Cincinnati 	Communication	12550	0.65	2018-2019	1st
28	California Institute of Technology	San Pasqual Walk	Madison Heights	Pasadena	Los Angeles County	California	USA	us		91126																											California Institute of Technology 	Computing and Mathematical Sciences	35000	1.35	2018-2019	4th
29	Duke University	Union Circle	Trinity Heights	Durham	Durham County	North Carolina	USA	us																													Duke University 	University Program in Genetics and Genomics	31800	1.43	2018-2019	3rd
30	University of Chicago		Woodlawn	Chicago	Cook County	Illinois	USA	us	South Ellis Avenue	60637																											University of Chicago 	physics	30342	1.25	2018-2019	1st
31	University of Pittsburgh			PGH	Allegheny County	Pennsylvania	USA	us	Sutherland Drive	15240		West Oakland																									University of Pittsburgh	Infectious Disease and Microbiology	28000	1.35	2019-2020	1st
32	University of Pittsburgh			PGH	Allegheny County	Pennsylvania	USA	us	Sutherland Drive	15240		West Oakland																									University of Pittsburgh	Infectious Disease and Microbiology	28000	1.35	2019-2020	1st
33	Northwestern University		Downtown	Evanston	Cook County	Illinois	USA	us	Haven Street	60201																											Northwestern University 	Biology	32700	1.35	2018-2019	1st
34			East Campus		Tolland County	Connecticut	USA	us	Glenbrook Road	06269								University of Connecticut		Storrs																	University of Connecticut 	Biomedical sciences	30500	1.25	2019-2020	1st
35	UC			Cincinnati	Hamilton County	Ohio	USA	us	West University Avenue	45219		The Heights																									University of Cincinnati 	Chemistry	23000	1.19	2018-2019	5th
36	University of California, Irvine			Irvine	Orange County	California	USA	us	East Peltason Drive	92612		Turtle Rock																									University of California - Irvine 	Cellular and Molecular Biosciences	33000	1.13	2019-2020	1st
37	Drexel University		Powelton Village	Philadelphia	Philadelphia County	Pennsylvania	USA	us	Arch Street	19104																											Drexel University 	Physics	23500	0.97	2018-2019	1st
38	John Felice Rome Center		Balduina	Roma	RM	LAZ	Italia	it	Via Massimi	00136		Municipio Roma XIV																									Loyola University Chicago 	Neuroscience	29476	1.21	2018-2019	2nd
39	University of Arizona			Phoenix	Maricopa County	Arizona	USA	us	East Polk Street	85004		Central City																									University of Arizona 	Chemical Engineering	31339	1.51	2018-2019	2nd
40	MIT		Central Square		Middlesex County	Massachusetts	USA	us	Massachusetts Avenue	02238									Cambridge																		Massachusetts Institute of Technology 	Physics	40331	1.44	2019-2020	4th
41	University of Texas Southwestern Medical Center			Dallas	Dallas County	Texas	United States of America	us	Harry Hines Boulevard	75390						5323																					University of Texas Southwestern Medical Center - Dallas	cancer biology	34500	1.6	2019-2020	6th and up
42				Louisville	Jefferson County	Kentucky	USA	us	South Floyd Street	40209			University of Louisville			2126																					University of Louisville 	electrical and computer engineering	22000	1.07	2018-2019	3rd
43	Kansas State University			Manhattan	Riley County	Kansas	USA	us	Denison Avenue	66506																											Kansas State University 	Sensory Science	18980	0.86	2019-2020	1st
