	University	Subject	Stipend	LW Ratio	Academic Year	Program Year	Comments
0	Oregon Health and Science University	Neuroscience	$30,000	1.28	2018-2019	1st	
1	Wake Forest University (WFU)	Biomedical Informatics	$45,000	2.06	2019-2020	1st	
2	University of Arizona (U of A)	Entomology	$22,022	1.06	2018-2019	1st	
3	University of Wisconsin - Madison (UW)	Computer Sciences	$20,700	0.91	2019-2020	1st	$11,000 stipend, 50% TA appointment for FA 2019 w/ tuition remission. Segregated fees  ~$650/semester not covered for more than 8 credit hours enrollment.
4	Oregon State University (OSU)	Microbiology	$1,600	0.08	2018-2019	2nd	
5	University of Central Florida (UCF)	Mechanical Engineering	$24,000	1.04	2019-2020	1st	
6	FAMU	COPPS	$16,183		2018-2019		
7	Johns Hopkins University	Chemistry	$32,470		2016-2017	1st	
8	University of Cincinnati (UC)	School Psychology	$12,540	0.65	2018-2019	1st	
9	Clark Atlanta University	Chemistry 	$17,100	0.73	2019-2020	1st	
10	Tulane University (TU)	Microbiology/Immunology	$23,000	1.00	2018-2019		
11	Yeshiva University (YU)	Biomedical Sciences	$35,000	1.18	2018-2019	1st	
12	Miami University (MU)	Mechanical Engineering	$15,800	0.82	2019-2020	1st	
13	Northeastern University (NU)	Electrical and Computer Engineering	$33,007	1.15	2018-2019	2nd	after taxes and covering health insurance
14	Stanford University (SU)	Civil and Environmental Enineering	$42,000	1.46	2019-2020	1st	
15	University of California - Los Angeles (UCLA)	Electrical Engineering	$28,000	1.08	2019-2020	1st	
16	University of California - Berkeley	MCB	$37,000	1.33	2019-2020	1st	
17	University of Minnesota - Twin Cities (UM)	German Nordic Slavic and Dutch	$23,500	1.03	2018-2019	1st	
18	University of North Carolina - Chapel Hill (UNC)	Biomedical Engineering	$37,500	1.69	2019-2020	1st	5000 bonus first year
19	University of California - Los Angeles (UCLA)	Linguistics	$33,000	1.28	2019-2020	1st	
20	Clemson University (CU)	Automotive	$20,500	0.98	2018-2019	3rd	
21	University of California - Los Angeles (UCLA)	Molecular Biology Interdepartmental Doctoral Program (MBIDP)	$33,500	1.29	2019-2020	1st	
22	Duke University (DU)	Public Policy	$25,000	1.12	2019-2020	1st	
23	Gonzaga University	School of Leadership Studies	$1,440		2018-2019	1st	Stipend requires full time load (6 credits) and is awarded on a semester by semester basis.
24	University of California - San Francisco (UCSF)	Chemistry and Chemical biology 	$40,000	1.34	2019-2020	1st	
25	University of California - San Francisco (UCSF)	Chemistry and Chemical biology 	$40,000	1.34	2019-2020	1st	
26	University of Cincinnati (UC)	Communication	$12,550	0.65	2018-2019	1st	All tuition was covered. Paid about 640 dollars every two weeks, but received increase to 656  dollars every two weeks. Health insurance scholarship available but hard to get unless far below income requirements. Summer teaching not often available. 
27	California Institute of Technology (Caltech)	Computing and Mathematical Sciences	$35,000	1.35	2018-2019	4th	NSF GRFP pays $34,000. Institute minimum is $35,000.
28	Duke University (DU)	University Program in Genetics and Genomics	$31,800	1.43	2018-2019	3rd	
29	University of Texas - Dallas (UTD)	Management	$36,100	1.67	2018-2019	3rd	
30	University of Reims	Computer Science	$1,400		2018-2019	3rd	
31	University of Chicago (UC)	physics	$30,342	1.25	2018-2019	1st	
32	Florida Institute of Technology	Bces	$11,560	0.55	2018-2019		
33	University of Pittsburgh	Infectious Disease and Microbiology	$28,000	1.35	2019-2020	1st	
34	University of Pittsburgh	Infectious Disease and Microbiology	$28,000	1.35	2019-2020	1st	
35	Baylor University (BU)	History	$17,500	0.88	2018-2019		
36	University of Alabama - Birmingham (UAB)	Immunology	$30,000	1.39	2019-2020	3rd	after qualification, you get 31,000!
37	University of Arizona (U of A)		$20,150	0.97	2019-2020		
38	Northwestern University (NU)	Biology	$32,700	1.35	2018-2019	1st	
39	University of Connecticut (UConn)	Biomedical sciences	$30,500	1.25	2019-2020	1st	
40	University of Texas - Arlington (UTA)	Mechanical Engineering/PhD	$16,500	0.76	2019-2020	2nd	Insurance of 2500 USD (Fall - 950, Spring+Summer - 1450), but you can always opt for outside  insurance (worth 300-600 USD per year)
41	University of Texas - Arlington (UTA)	Mechanical Engineering/PhD	$15,500	0.71	2018-2019	1st	Insurance of 2500 USD (Fall - 950, Spring+Summer - 1450), but you can always opt for outside  insurance (worth 300-600 USD per year)
42	University of Cincinnati (UC)	Chemistry	$23,000	1.19	2018-2019	5th	
43	University of California - Irvine (UCI)	Cellular and Molecular Biosciences	$33,000	1.13	2019-2020	1st	
